Regions du monde,Noms vernaculaires local ou francais,Nom vernaculaire anglais,combien,poid commun lb,Ou/quand,Technique de peche,photo,nom scientifique (especes),famille,ordre
1. Amerique du Nord,dorade grise,"Porgy, Scup",500+,1-2,"Sound - 2206, palangrotte","canne, dandinette, clam, ver ou sprearing",reelle,Stenotomus chrysops,sparidae,spariformes
2,fluke,"Fluke, summer flounder",200+,2-4,Sound July 2006,"canne, au fond, au sprearing (eperlan) ou clam",reelle,Paralichthys dentatus,Paralichthyidae,pleuronectiforme
3,Bar raye,Stripped bass,100+,5-30,Sound 2006 - peche de fond,"canne, au fond, au frein, ou derive, appat morceau de bunker",reelle,Morone saxatillis,moronidae,moroniformes
4,Rouget grondin,Searobin,300+,3,Long Island Sound 2002/2012,"canne, dandinette, clam, ver ou sprearing",reelle,Prionotus Carolinus,triglidae,scorpaeniforme
5,Tassergal,Bluefish,500+,10-12,Sound - fall 2002 - peche de fond,"canne, au fond, au frein, appat morceau de bunker",reelle,Pomatomus saltatrix,pomatomidae,perciforme
6,blackfish,Blackfish,100+,3-5,Long Island Sound Fall 2007,"dandinette dans le Sound, au crabe",reelle,Tautoga Onitis,labridae,labriformes
7,black seabass,Black seabass,10+,0.5-1,Long Island Sound 2002/2012,"canne, dandinette, clam, ver ou sprearing",reelle,Centropristis striata,serranidae,perciforme
8,"lotte, baudroie",Monkfish,3+,0.5-1,Long Island Sound 2002/2012,"canne, dandinette, clam, ver ou sprearing",web,Lophius americanus,lophiidae,Lophiiformes
9,bunker,Bunker,50+,1-2,Long Island Sound 2002/2012,"au ""snagging"" au trident en surface",reelle,Brevoortia tyrannus,clupeidae,clupeiformes
10,Limule,Horshoe crab,5+,3-6,Sound ete 2008,"canne, au fond, au frein, appat morceau de bunker",reelle,Limulus polyphemus,limulidae,Xiphosurida
11,Smooth dogfish shark,Smooth dogfish shark,3,3,Long Island Sound 2002/2012,"canne, au fond, au frein, appat morceau de bunker",reelle,Mustelis canis,triakidae,Carcharhiniformes
12,Spiny dogfish,Spiny dogfish,3,3,Sound - June 2004 - palangrotte,"canne, au fond, au frein, appat morceau de bunker",reelle,Squalus acanthias,squalidae,Squaliformes
13,Chesapeake blue crab,Chesapeake blue crab,5,0.4,Long Island Sound 2002/2012,"epuisette, sous les pontons a Orienta",web,Callinectes sapidus,portunidae,decapoda
14,Jonah crab,Jonah crab,5,0.4,Long Island Sound 2002/2012,"canne, au fond, au frein, appat morceau de bunker",web,Cancer borealis,cancridae,decapoda
15,mantis shrimp,mantis shrimp,3,0.2,Long Island Sound 2002/2012,"canne, au fond, au frein, appat morceau de bunker",web,Squilla empusa,squillidae,stomatopoda
